gene,pval_spark,qval_spark,pval_spatialde,qval_spatialde,FSV,l,sig_spark,sig_spatialde,agreement
RPS18,1.33226762955019e-15,2.9142765130692497e-12,0.082682776528528,0.974739246369655,0.5462191758029855,0.0305196765285746,True,False,False
DCN,1.5543122344752201e-15,3.25216364501931e-12,4.319413486886248e-07,0.0002922651567758,0.2600277647149964,0.1487542279755095,True,True,True
RPL36,1.99840144432528e-15,4.00713020547022e-12,0.0082158908224053,0.3963932978904275,0.1161013817064489,0.1487542279755095,True,False,False
RPL13,3.4416913763379904e-15,6.62512193971076e-12,0.0002615472242979,0.0410055014094432,0.1774042670848717,0.252212021085435,True,True,True
H2AFJ,1.0103029524088901e-14,1.8699940958861e-11,0.0090041697627203,0.4108412692171036,0.1091190861400404,0.1487542279755095,True,False,False
AZGP1,1.4432899320127e-14,2.5724786504253298e-11,1.199215879599258e-06,0.0005139039782709,0.2207487649493321,0.1487542279755095,True,True,True
PRSS23,1.55431223447522e-14,2.6714201369801496e-11,0.0017364300501824,0.1606010411880953,0.2073835569148988,0.0877349947292727,True,False,False
SOD2,1.9984014443252802e-14,3.3162456872857003e-11,1.2469690757743734e-07,9.430020257738438e-05,0.2578011998099791,0.1487542279755095,True,True,True
MIF,3.7969627442180404e-14,6.090837912314739e-11,0.014409219755523,0.5262640033437607,0.0732459401674243,0.252212021085435,True,False,False
STARD10,3.9745984281580604e-14,6.170118767992859e-11,0.0017123615773221,0.1606010411880953,0.1183288825279819,0.252212021085435,True,False,False
FXYD3,6.7612582199672e-14,1.01680928963807e-10,1.591355834607011e-05,0.004447493610806,0.2227428509533543,0.252212021085435,True,True,True
CLEC3A,7.460698725481051e-14,1.0879965648791901e-10,1.7924167939886717e-06,0.000743332590436,0.2792480598691872,0.0877349947292727,True,True,True
ASPN,8.4821039081362e-14,1.20056763803108e-10,1.4761392108653124e-09,1.9147290259091677e-06,0.3747127355217961,0.252212021085435,True,True,True
RPL28,1.0180745135812699e-13,1.3998241517776002e-10,0.004754585069518,0.2910711697796408,0.2945278185834611,0.0517459530724249,True,False,False
THBS2,1.4255263636187e-13,1.90561303104584e-10,2.6426232313525592e-09,2.8311303551890412e-06,0.2422151458922562,0.252212021085435,True,True,True
CILP,1.55653268052447e-13,2.0245032605655003e-10,1.401229343667154e-08,1.3857080340142257e-05,0.3695015403924943,0.0877349947292727,True,True,True
FGB,3.37507799486048e-13,4.27427221916824e-10,8.802796722662265e-07,0.0004715364777772,0.2165036116790834,0.1487542279755095,True,True,True
VCAN,8.93729534823251e-13,1.0752466051345102e-09,7.427113959512788e-06,0.0025127099227235,0.2861720288825559,0.0877349947292727,True,True,True
TGM2,8.87734330490275e-13,1.0752466051345102e-09,6.168492583391584e-08,4.956383790755137e-05,0.4047176911407204,0.0877349947292727,True,True,True
