"GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue","gene"
1.61732655269198e-17,0.0235418462915021,4.08810648767844e-15,0.999798106476307,2.38748736191153e-06,0.996004562074838,0.00319573589548228,0.21717531591186,0.0178224780884022,1.65744728307921e-22,1.11022302462516e-16,7.52986796788111e-13,"Pcp4"
3.16623885390507e-15,0.178715049592618,1.9606889216677e-14,0.980089011552988,7.1865728360724e-07,0.999618291070809,0.000894697629758183,0.633043530450933,0.0067953449946316,1.48951076878811e-17,2.22044604925031e-16,7.52986796788111e-13,"Sez6"
4.62837289963561e-11,0.126558868804097,7.45882934648868e-10,0.9989172607977,0.000593010064324207,0.768227271037416,0.0587063018448947,0.145540616008343,0.140168325924705,1.90974066206455e-18,2.22044604925031e-16,7.52986796788111e-13,"Rbfox3"
9.97794774321288e-20,0.382345407848123,6.44602123948786e-20,0.996602846205992,5.90232693100363e-12,0.998002353316771,2.76044561587741e-08,0.459850801995248,4.17898970043129e-07,3.05550108572406e-18,5.55e-17,7.52986796788111e-13,"Gng13"
2.01213359602873e-16,0.0154596691620617,4.13968304560738e-16,0.956748738470764,5.6899374610584e-09,0.981885148177124,8.28356667261475e-06,0.527831690830743,0.000155333564431619,1.85818420390717e-18,2.22044604925031e-16,7.52986796788111e-13,"Gng4"
4.58167820186863e-15,0.522423074981468,1.53087767700763e-14,0.999559777315037,7.17461222168143e-08,0.951346666584322,5.69712106242563e-05,0.0936486973128923,0.000485497004766542,5.28777940897691e-18,2.22044604925031e-16,7.52986796788111e-13,"Penk"
1.35922393169566e-13,0.078588326845122,6.15186240220777e-12,0.982763516486107,0.000171055854169996,0.996837256179109,0.0292647720669456,0.0912100203414213,0.0893238958614458,4.4530498689861e-22,2.22044604925031e-16,7.52986796788111e-13,"Kcnh3"
2.35370319967941e-29,0.619974201069293,9.81366230529058e-28,0.999999765013822,4.7253939579404e-15,0.999844166092374,2.67473742137769e-09,0.501526064566983,6.92752108596221e-08,1.11371421343942e-27,5.55e-17,7.52986796788111e-13,"Fabp7"
4.28512120259607e-15,0.037743482888829,2.55218784541921e-14,0.977495489508921,1.00524435914852e-06,0.892637318503514,0.000555783774333131,0.567256910736871,0.00217577236661924,2.08540971932144e-22,2.22044604925031e-16,7.52986796788111e-13,"Camk2b"
3.55799070960133e-14,0.516950462407456,7.0027999277677e-13,0.987378612214029,1.47802832047335e-05,0.99583310460338,0.0178361882186557,0.00871620156069928,0.065561673607225,4.31832242772529e-18,2.22044604925031e-16,7.52986796788111e-13,"Baiap2"
