FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
0.7059340892986571,4,Sparcl1,1.1351902422671696,0.40673674873041654,-43.75980415460015,-4.8083606515723085,3.382625214659163,SE,261,0.00014110283596066006,0.003560445010994277,0.0004150867462158203,109.77768993849106,-123.29816839177988,79.53836423717974,0.0,0.0
0.7468180000264777,4,Fabp7,1.9076086177606622,0.31629459459869474,-157.06897687335157,-1.5036255760758754,0.5050960891947568,SE,261,0.00015229543474806425,0.004481358227564486,0.002753019332885742,336.3960353759939,-283.25440536827864,126.18542849492707,0.0,0.0
0.7534843709504385,4,Apod,1.9076086177606622,0.30524174730220355,-221.3469945637165,-2.122422109753848,0.8944366722094913,SE,261,0.0002528815281600932,0.007664491219431052,0.00041604042053222656,464.95207075672374,-315.8879162937465,94.54092173003002,0.0,0.0
0.6963252374073825,4,Apoe,1.9076086177606622,0.40688369374225974,-72.08531752340218,-3.432644157171025,0.8864613993780333,SE,261,0.00016913927793082824,0.004141518166373657,0.0011489391326904297,166.42871667609515,-186.8237872979804,114.73846977457822,0.0,0.0
0.5828138656533052,4,Glul,1.9076086177606622,0.6678419738217499,-70.50848152112638,-3.982179940195537,1.0548261695390415,SE,261,0.0003204994135342603,0.006272492875847918,0.0035483837127685547,163.27504467154355,-140.4893025044793,69.98082098335291,1.1102230246251565e-16,2.7393642909601113e-13
0.5436068787864514,4,Scd1,1.9076086177606622,0.7832995321227585,-263.4300544864127,-0.834410062638329,0.43676661070671374,SE,261,0.0003590715077844595,0.006807014542700742,0.0026578903198242188,549.1181906021162,-327.659928217412,64.22987373099932,1.1102230246251565e-15,2.282803575800093e-12
0.5965997791099973,4,Kif5b,1.9076086177606622,0.6308509539935999,-221.31528507953857,-2.4990549958299018,0.7187011828547123,SE,261,0.000417650193816754,0.008307278066409825,0.0011928081512451172,464.8886517883679,-285.0001426452106,63.68485756567202,1.4432899320127035e-15,2.543695413034389e-12
0.7026437608910058,4,Kctd12,1.1351902422671696,0.4132137321189141,-235.17624613384055,-2.939863730741927,1.622563058921993,SE,261,0.00023871980506091775,0.0059605247342211926,0.0006000995635986328,492.61057389697186,-298.5839648307208,63.40771869688024,1.6653345369377348e-15,2.5681540227751043e-12
0.6530353473433809,4,Pcp4,1.1351902422671696,0.5187778541209058,-146.77980704224194,-8.410592736368608,10.039001021339434,SE,261,0.00021317792558536952,0.0046685450825943095,0.000446319580078125,315.81769571377464,-207.72673593901553,60.946928896773585,5.88418203051333e-15,8.065905967826994e-12
0.698720485200266,4,Cck,1.1351902422671696,0.42101639856276873,-230.24305587665162,-4.075527596659383,2.7328953508259684,SE,261,0.00020416995508691055,0.005035889327797626,0.002315044403076172,482.744193382594,-287.21202704183924,56.96897116518761,4.4297898682543746e-14,5.465031760465422e-11
0.517581915262202,4,S100a5,1.9076086177606622,0.8695973497849548,-329.7540197157123,-0.017347708436732435,0.6027900326138479,SE,261,0.00039711841888989983,0.0074528283623826455,0.00039076805114746094,681.7661210607154,-386.0762247601783,56.322205044466045,6.150635556423367e-14,6.89821735087228e-11
0.7183599302151932,4,Cpe,1.1351902422671696,0.38281172263749746,-35.719897899952514,-6.910950663547153,6.918726852351041,SE,261,0.0001663622989661668,0.00437824180868223,0.0004169940948486328,93.6978774291958,-91.36359594605153,55.64369804609902,8.681944052568724e-14,8.925761981378362e-11
0.4843233476598537,4,Mbp,1.9076086177606622,0.9933808510600795,-105.52020127074988,-7.48175658043298,3.3471322052043564,SE,261,0.00039090339817598064,0.007333261284534603,0.00036215782165527344,233.29848417079054,-156.42346912452763,50.90326785377775,9.703349235223868e-13,9.208478424227451e-10
0.46039426566490116,4,Igfbp5,1.9076086177606622,1.0935039878554003,-291.3126184898465,-1.4450270946743637,0.490566983443647,SE,261,0.0004284180137273838,0.008104495732034575,0.0011599063873291016,604.8833186089838,-338.66544538747684,47.35282689763034,5.929257085313111e-12,5.224946047250561e-09
0.6491279908735439,4,Ptgds,1.9076086177606622,0.5043036456834289,-152.42922858664605,-3.9990151307172797,1.2212337668407558,SE,261,0.0007406808866317009,0.016086057171411518,0.0003840923309326172,327.11653880258285,-197.3474615251305,44.918232938484465,2.0543566847663897e-11,1.6896398946641966e-08
0.5200141516601076,4,Vamp2,1.9076086177606622,0.8611662302245455,-74.81230641911625,-8.014903219929224,3.86434721050898,SE,261,0.0009647100202476838,0.018115409964872105,0.0005657672882080078,171.8826944675233,-118.07607176249462,43.26376534337837,4.783606843972166e-11,3.688459852130288e-08
0.45952919360718136,4,Calm2,1.9076086177606622,1.0973188863966108,-12.652295396253507,-7.861956114857198,3.5987505591337245,SE,261,0.0005120320686936027,0.009690500269337737,0.0006582736968994141,47.562672421797785,-55.271666237666864,42.61937084141336,6.649758521604099e-11,4.825768875354692e-08
0.39724039158526525,4,Camk2b,1.9076086177606622,1.415677929473746,-181.15016206975312,-8.150121973892759,3.846393733234512,SE,261,0.00040166903537306543,0.00805450438616105,0.00039005279541015625,384.558405768797,-221.39398027642693,40.24381820667381,2.2416357658983088e-10,1.5363922468826354e-07
0.4288658783794565,4,Penk,1.9076086177606622,1.2424826526082744,-236.07820774251152,-8.033339003201931,3.88266636232049,SE,261,0.0006128102857667823,0.011854416488354894,0.00038504600524902344,494.4144971143138,-276.0894654801445,40.011257737632974,2.5250346258332e-10,1.6395448515212733e-07
