FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
0.08492124904500162,4,'slc5a7',0.1524260510151771,8.994225905000512,-2617.111459139863,-4.202995903439385,0.07599585998382792,SE,3585,8.113872532269976e-05,0.011440294929115016,0.0008647441864013672,5266.960973291862,-2719.513188775272,102.40172963540863,0.0,0.0
0.5835273267451276,4,'htr3a',0.1524260510151771,0.5957266180389701,-946.1612078151672,-4.402974471868816,0.22169199751234925,SE,3585,0.00048575191382047966,0.009513995549226864,0.0008368492126464844,1925.0604706424695,-1157.7593034886986,211.59809567353136,0.0,0.0
0.11825748588166018,4,'gad1',0.1524260510151771,6.223501999364983,-2222.372015256839,-4.754281101838269,0.09595932429254246,SE,3585,0.00022827987295584524,0.018840530741823035,0.0042798519134521484,4477.482085525813,-2310.496833792369,88.12481853553027,0.0,0.0
0.5102492378246849,4,'foxj1',0.1524260510151771,0.8011511304292063,-836.1754613861656,-5.104451551814254,0.1953147443275004,SE,3585,0.0005014598050881275,0.009398943434158534,0.0008141994476318359,1705.0889777844661,-1235.1271444457961,398.95168305963057,0.0,0.0
0.18820667327651308,4,'ctss',0.1524260510151771,3.600245801890824,-2089.698465302245,-4.70978804024944,0.1164471345620682,SE,3585,0.00013768475614186538,0.005805766673134527,0.0050220489501953125,4212.134985616625,-2434.8092483603305,345.1107830580854,0.0,0.0
0.3832100271888695,4,'mog',0.1524260510151771,1.3434519383209693,-1557.9251129485162,-5.261070452290017,0.18696673815141632,SE,3585,0.0007230568280596965,0.014800632836992565,0.0009050369262695312,3148.588280909167,-1797.1438536725668,239.21874072405058,0.0,0.0
0.1426742637853132,4,'mfge8',0.1524260510151771,5.015588694919395,-3273.9821779700856,-4.876067373168442,0.1394628784198479,SE,3585,0.00018094560315557159,0.011238053392437839,0.0008969306945800781,6580.702410952306,-3451.0130683728094,177.0308904027238,0.0,0.0
0.11230590540193221,4,'lyve',0.1524260510151771,6.597546065447751,-2624.552044905154,-4.6023354562055685,0.09737896322320515,SE,3585,7.591842019512347e-05,0.006793478431944689,0.0007829666137695312,5281.8421448224435,-2903.581890463567,279.02984555841294,0.0,0.0
0.29780247981776103,4,'slc17a7',0.1524260510151771,1.9681249889360586,-3433.747384553319,-5.727500385215992,0.2960906571249886,SE,3585,0.000245588780815848,0.006123401893387688,0.0007970333099365234,6900.232824118773,-3677.165399347768,243.41801479444894,0.0,0.0
0.05522383985048677,4,'Sox6',0.1524260510151771,14.27986228321427,-3021.500934405936,-4.605361895296596,0.07718870091418276,SE,3585,4.690758633906195e-05,0.013931118233793819,0.0008928775787353516,6075.739923824007,-3121.3700540912932,99.86911968535742,0.0,0.0
0.3954800917545313,4,'palvb',0.1524260510151771,1.2758736711819556,-872.0743887518751,-5.117375877854278,0.15431462939979285,SE,3585,0.0007903102373783298,0.015886179582673333,0.0007338523864746094,1776.886832515885,-1160.4382007107256,288.36381195885053,0.0,0.0
0.3783528863006067,4,'pdgfra',0.1524260510151771,1.3714139542721595,-1261.8268784872193,-5.394318047317401,0.17442877130597387,SE,3585,0.0005341671737695775,0.011020000138086438,0.0007569789886474609,2556.3918119865734,-1600.2099655285601,338.3830870413408,0.0,0.0
