FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
0.9999545803043447,4,BCL2L12,0.01800045414382737,4.5399929762484854e-05,-284.32815675231063,-3.6956061483460974,12.78157864367332,SE,250,1475.7169063074919,518050938094.47095,0.0002491474151611328,590.7421571760702,-284.6769702213262,0.34881346901556753,0.5547855661447743,0.974739246369655
2.060163062336065e-09,4,ZBTB7C,0.01800045414382737,485165195.4097903,-174.43161030708143,-3.6061190172714475,2.7290598252555132e-08,SE,250,5.330508927466068,9.093708705256465e+17,0.00024700164794921875,370.9490642856118,-174.43261298080822,0.0010026737267878616,0.9747391879240226,0.974739246369655
2.060163062336065e-09,4,RAD50,0.01800045414382737,485165195.4097903,-364.76030178442034,-5.269594965268011,5.9468694056865606e-08,SE,250,7.051126839015915,1.2029037825532221e+18,0.0002460479736328125,751.6064472402896,-364.76130445827255,0.0010026738522128653,0.9747391863446062,0.974739246369655
2.0601630623360648e-09,4,SMPD2,0.01800045414382737,485165195.4097903,-274.19971819792454,-3.8745377956694327,3.202431673396672e-08,SE,250,60.40962474509018,1.0305723860532828e+19,0.0006399154663085938,570.485280067298,-274.20072087232995,0.0010026744054130177,0.9747391793784257,0.974739246369655
2.0601630623360648e-09,4,BRD7,0.01800045414382737,485165195.4097903,-395.43464211104174,-6.105426764097222,7.968646073502178e-08,SE,250,1.020237420232251,1.7404983344066406e+17,0.001377105712890625,812.9551278935324,-395.43564478352636,0.001002672484617051,0.9747392035660836,0.974739246369655
0.9999545803043447,4,CXorf38,0.01800045414382737,4.5399929762484854e-05,-290.36832731945816,-4.78116218589409,21.037177589956567,SE,250,1.3568199506856107,476312120.0797821,0.0005102157592773438,602.8224983103653,-291.4592647870576,1.0909374675994172,0.29626358968983235,0.974739246369655
0.5042197525562723,4,SMYD5,0.01800045414382737,0.9827897087737821,-305.44602648203386,-3.0910861156421703,4.886182044037034,SE,250,146.58077020928516,2745.879410211633,0.00025200843811035156,632.9778966355167,-305.5260192022888,0.07999272025494975,0.7773072763129766,0.974739246369655
2.060163062336065e-09,4,PRPS2,0.01800045414382737,485165195.4097903,-399.4938335494462,-7.239440178172848,1.1097264475749114e-07,SE,250,1.4211824751340592,2.424500103412837e+17,0.00025177001953125,821.0735107703414,-399.49483622226796,0.0010026728217553682,0.9747391993206616,0.974739246369655
2.0601630623360648e-09,4,STYXL1,0.01800045414382737,485165195.4097903,-301.5398476642472,-4.4288754404333135,4.177616760041499e-08,SE,250,2.9175188883685905,4.977210858085841e+17,0.0007238388061523438,625.1655389999434,-301.54085033763363,0.0010026733864378912,0.9747391922098855,0.974739246369655
0.9999545803043447,4,GPBP1,0.01800045414382737,4.5399929762484854e-05,-445.8822653008879,-8.154280009852457,61.52764702635986,SE,250,3.5606967996195578,1249983861.6962821,0.0007319450378417969,913.8503742732248,-446.71025424212246,0.8279889412345369,0.36285469293029304,0.974739246369655
0.4934761469309421,4,SAMD8,0.01800045414382737,1.0259471087916463,-309.4221893017814,-4.247219656752788,8.753493998928587,SE,250,58.73020142570066,1100.3569736961333,0.0002522468566894531,640.9302222750117,-309.44264889841753,0.02045959663615804,0.8862609232220379,0.974739246369655
2.0601630623360656e-09,4,SMTN,0.01800045414382737,485165195.4097903,-308.10966684448204,-3.933573433670797,3.3311675057289894e-08,SE,250,2.647650713004516,4.5168228146600224e+17,0.00025081634521484375,638.305177360413,-308.11066951780407,0.0010026733220342976,0.974739193020889,0.974739246369655
0.4984238336830394,4,ABCA10,0.01800045414382737,1.005840979794356,-231.51483864472956,-2.7865813144485947,3.8404945094034506,SE,250,42.0578597393873,787.7887264691241,0.00025010108947753906,485.1155209609081,-231.58716120156444,0.07232255683487665,0.7879846779948141,0.974739246369655
0.9999545803043446,4,VAMP2,0.01800045414382737,4.5399929762484854e-05,-365.886218317141,-3.771069826672876,13.81051293399406,SE,250,9.293470263688405,3262475999.081411,0.00024771690368652344,753.858280305731,-366.4611356992735,0.5749173821324689,0.44831146952269374,0.974739246369655
2.060163062336065e-09,4,TTC1,0.01800045414382737,485165195.4097903,-264.14976432718595,-3.9904656040851076,3.3820018295485545e-08,SE,250,5.225746085215411,8.914986038523209e+17,0.0002522468566894531,550.3853723258209,-264.1507670009033,0.0010026737173234324,0.9747391880432036,0.974739246369655
0.9999545803043446,4,MINOS1,0.01800045414382737,4.5399929762484854e-05,-457.8167448742469,-9.593196759956873,84.56813033088623,SE,250,5900.383786813214,2071331800033.897,0.00024890899658203125,937.7193334199428,-458.03269610131395,0.2159512270670234,0.6421423496225307,0.974739246369655
2.060163062336065e-09,4,SMAP1,0.01800045414382737,485165195.4097903,-303.9490561471225,-4.889631934409514,5.06520689880609e-08,SE,250,7.562694811182782,1.2901759395859968e+18,0.0004761219024658203,629.983955965694,-303.95005882100384,0.0010026738813166958,0.9747391859781158,0.974739246369655
2.060163062336065e-09,4,SCOC,0.01800045414382737,485165195.4097903,-415.9422660360224,-9.539847407066675,1.9094620197969287e-07,SE,250,0.40499677083687496,6.909138903385675e+16,0.00038313865661621094,853.9703757434937,-415.94326870721267,0.0010026711902924035,0.9747392198649031,0.974739246369655
2.0601630623360648e-09,4,TMEM168,0.01800045414382737,485165195.4097903,-338.26662881700395,-4.959053235278215,5.2495056340341735e-08,SE,250,8.019948554497214,1.3681822313429484e+18,0.0002510547637939453,698.6191013054569,-338.26763149090897,0.0010026739050204014,0.9747391856796265,0.974739246369655
2.060163062336065e-09,4,RABL6,0.01800045414382737,485165195.4097903,-416.68287005490765,-4.532511909305472,4.572694835883324e-08,SE,250,44.73641159789992,7.631914721942812e+18,0.00025010108947753906,855.4515837812643,-416.68387272926583,0.0010026743581761366,0.9747391799732567,0.974739246369655
2.060163062336065e-09,4,SLC4A7,0.01800045414382737,485165195.4097903,-399.9745670859288,-6.116668843740644,8.007524305568932e-08,SE,250,16.798441017289278,2.865770067967553e+18,0.0002560615539550781,822.0349778433066,-399.97556976007706,0.0010026741482533907,0.9747391826167117,0.974739246369655
0.9999545803043446,4,SCGB1D2,0.01800045414382737,4.5399929762484854e-05,-193.9884108009088,-4.011070545014201,14.661614617087784,SE,250,7.7592807068148035,2723898216.4800687,0.0002529621124267578,410.0626652732666,-194.63749836890594,0.6490875679971282,0.42043908677417063,0.974739246369655
2.0601630623360648e-09,4,GALNT3,0.01800045414382737,485165195.4097903,-326.03584575444984,-5.014901192669745,5.347476147781867e-08,SE,250,35.150750952394745,5.996626106093865e+18,0.00024890899658203125,674.1575351803486,-326.03684842876544,0.0010026743156004159,0.974739180509392,0.974739246369655
0.9999545803043446,4,MMP3,0.01800045414382737,4.5399929762484854e-05,-306.3633385124142,-4.064607410158099,15.45181419038945,SE,250,4.387980096922688,1540401953.6772895,0.00025200843811035156,634.8125206962774,-307.3725878969018,1.009249384487589,0.31508273041865287,0.974739246369655
2.060163062336065e-09,4,CHSY3,0.01800045414382737,485165195.4097903,-153.90393120969702,-3.2729608664467853,2.2493023306211608e-08,SE,250,7.753744838537642,1.3227685741831258e+18,0.0003819465637207031,329.893706090843,-153.90493388358936,0.001002673892344319,0.9747391858392502,0.974739246369655
2.060163062336065e-09,4,RLIM,0.01800045414382737,485165195.4097903,-348.2501749320136,-6.2619248953982884,8.277830023723903e-08,SE,250,0.8112698987217216,1.3840052123925858e+17,0.0004470348358154297,718.5861935354761,-348.25117760423046,0.001002672216884548,0.9747392069375118,0.974739246369655
2.060163062336065e-09,4,SLC45A4,0.01800045414382737,485165195.4097903,-345.25622822190644,-5.834077735514262,7.206501952515935e-08,SE,250,0.9061448829316816,1.5458594521211197e+17,0.00048613548278808594,712.5983001152618,-345.25723089425696,0.0010026723505234258,0.9747392052546608,0.974739246369655
2.060163062336065e-09,4,C16orf91,0.01800045414382737,485165195.4097903,-273.38924322594994,-4.876741064945086,5.00947947902058e-08,SE,250,0.3777031894399531,6.443517548794308e+16,0.0004470348358154297,568.8643301233489,-273.39024589701535,0.0010026710654074122,0.9747392214375215,0.974739246369655
2.060163062336065e-09,4,C1QTNF4,0.01800045414382737,485165195.4097903,-323.9655118431524,-3.7845465071681477,3.113289039545541e-08,SE,250,3.2286723762282863,5.508030563994424e+17,0.000324249267578125,670.0168673577538,-323.96651451660404,0.0010026734516372926,0.9747391913888609,0.974739246369655
2.060163062336065e-09,4,ATRX,0.01800045414382737,485165195.4097903,-398.5516498336315,-6.407889686660443,8.755961701520857e-08,SE,250,26.927284531056983,4.593724259371845e+18,0.0002529621124267578,819.1891433387119,-398.5526525078943,0.0010026742628497232,0.9747391811736558,0.974739246369655
