"GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue","gene"
0.347151419776018,0.552469348378558,0.0138827942843445,0.704746123653402,5.6210750461229e-10,0.285314148141523,8.72365401920643e-25,0.499000232819707,2.58276440914553e-24,0.294925157047239,1.11022302462516e-16,2.51552035770151e-15,"'Dmbx1'"
0.295911566859954,0.91863943355798,0.0427904306210114,0.128059472941017,1.21464949755623e-11,0.722134312474122,1.20717866875742e-29,0.530047839269845,1.54276275789343e-33,0.824450833392366,1.11022302462516e-16,2.51552035770151e-15,"'Paxip1'"
0.379817163690035,0.790838821837869,0.211985670729836,0.933220261695414,6.85476180125998e-05,0.418439497955593,1.14282919885997e-18,0.280454027362878,3.29725273169465e-20,0.273011142808928,1.11022302462516e-16,2.51552035770151e-15,"'Ctnnb1'"
0.222220588071259,0.165409332512838,0.00187874053022667,0.0862341722073037,4.66712049214812e-20,0.62311978279456,2.57023193277142e-45,0.0519811247743044,2.86287705580737e-44,0.408755433994985,5.55e-17,2.51552035770151e-15,"'Rybp'"
0.491808327044503,0.34949478989148,0.0501813257492368,0.429444669799383,2.81720270289696e-08,0.326772835000559,1.14725843456122e-19,0.755585223057981,1.32250576558957e-19,0.335424760866117,1.11022302462516e-16,2.51552035770151e-15,"'Sp8'"
0.528948064508929,0.434011748642187,0.0415006045455305,0.231806247739799,1.80199075850732e-08,0.90833214918383,5.13403395632304e-19,0.0445069276152195,2.79570130170845e-22,0.486536657180707,1.11022302462516e-16,2.51552035770151e-15,"'Vav1'"
0.434091659703977,0.897042685172572,0.185839699665988,0.917194555967799,7.91918794568746e-09,0.60557584491894,1.93276991884815e-27,0.427603422049874,2.15955197283252e-27,0.697633018636434,1.11022302462516e-16,2.51552035770151e-15,"'Nr3c2'"
0.414045710234216,0.0565897739652917,0.00055424953272941,0.147487133266673,4.36281298006127e-24,0.684012328891445,7.27094685760847e-57,0.400477889867698,1.47310623678722e-54,0.602197024508173,5.55e-17,2.51552035770151e-15,"'Sox6'"
0.416640347868647,0.138628318953683,0.0516529830717561,0.853086481053692,9.02281649061272e-10,0.140155959010076,3.60373315939397e-26,0.651577085244985,1.58372095628653e-30,0.298873218129681,1.11022302462516e-16,2.51552035770151e-15,"'Cebpg'"
0.401593637555552,0.10697816597675,0.107534869101285,0.648184436309353,1.71369571110715e-06,0.149439283220092,3.37510286043601e-19,0.367365339461638,8.79843338443789e-23,0.499974474502025,1.11022302462516e-16,2.51552035770151e-15,"'Clock'"
0.395019697225101,0.282394249562182,0.0108791875717028,0.985375500055387,3.8114444845488e-13,0.114875785987341,8.48057430390627e-33,0.200728600145889,1.18950595000868e-32,0.699521057445444,1.11022302462516e-16,2.51552035770151e-15,"'Foxc1'"
0.314483005752276,0.150422239857288,0.0301917582809135,0.654400041328605,2.93612424284642e-07,0.169955073808058,9.57233249309956e-24,0.727077776677353,9.12810447085912e-30,0.314379828015694,1.11022302462516e-16,2.51552035770151e-15,"'Cdc6'"
0.480391334422051,0.810501710575451,0.181525987879957,0.0404761783088328,5.42450766840016e-08,0.228177640330917,2.41722508651353e-20,0.492545424570751,2.78751885111595e-24,0.91858788394577,1.11022302462516e-16,2.51552035770151e-15,"'Six4'"
0.354485971880555,0.186655999848031,0.0319342945630433,0.76554895537647,4.51896905697934e-10,0.748564028995699,9.91768448767724e-24,0.702524648432179,1.2073182690547e-28,0.118513249710772,1.11022302462516e-16,2.51552035770151e-15,"'Nfe2l3'"
0.422859526994599,0.00711848673991086,0.169270089815246,0.288662430387232,1.84286027256179e-07,0.142763764997882,3.48299399819033e-19,0.360557639390454,5.30693082736666e-22,0.711012623017547,1.11022302462516e-16,2.51552035770151e-15,"'Nfe2l2'"
0.352494514864051,0.461914077036069,0.0527660011998047,0.201901156938435,9.20211337935135e-13,0.844851668708812,3.28596140369299e-38,0.191702441538524,1.75884468532039e-39,0.26152483692363,1.11022302462516e-16,2.51552035770151e-15,"'Zfp423'"
0.360250677280676,0.553694369956461,0.0857547894040098,0.664133425268564,5.43695334425917e-10,0.547062973901201,4.34228610019841e-25,0.523691144442856,2.59990016080398e-24,0.79256828169475,1.11022302462516e-16,2.51552035770151e-15,"'Pgr'"
0.105927193950212,0.422541029060496,9.45787188747452e-05,0.417546126586298,3.34323662196489e-16,0.931767220984604,7.89275785163318e-37,0.514488709661132,4.1349596075809e-41,0.32841634145807,1.11022302462516e-16,2.51552035770151e-15,"'Pknox1'"
0.419202295773987,0.0188916111643999,0.0751530423563901,0.740752382853687,1.67275017016096e-07,0.625823600644164,9.3346760619174e-26,0.0172538816241833,2.8445541045262e-35,0.723851243571663,1.11022302462516e-16,2.51552035770151e-15,"'Alx1'"
0.281943947624939,0.269910159607518,0.0382129268104137,0.636199597289016,5.78132272485169e-11,0.240681884071199,2.84615829924377e-26,0.499780769592599,4.5078299656223e-29,0.0334074603133984,1.11022302462516e-16,2.51552035770151e-15,"'Rbak'"
0.235685246941857,0.548229715110212,0.00297783162937972,0.148329037600004,3.14512537406701e-17,0.736744825417569,1.38770966939171e-39,0.34288790786969,3.56017584036581e-48,0.382035813096629,1.11022302462516e-16,2.51552035770151e-15,"'Zscan21'"
0.175020260988164,0.22746161512457,0.00827670983631094,0.897014756478172,3.74234434428606e-11,0.166770264608853,4.32117297830826e-27,0.927795012843916,9.08469534260801e-30,0.654687781030924,1.11022302462516e-16,2.51552035770151e-15,"'E2f7'"
0.269901147585037,0.60358438032578,0.0241389973737167,0.270084542127204,4.74488705029959e-17,0.964915627276273,8.50970550329089e-43,0.830579354522591,1.29895236545055e-43,0.833475219203966,1.11022302462516e-16,2.51552035770151e-15,"'Rbpjl'"
0.249455748337904,0.550545927071039,0.00107162011527134,0.785147998894258,2.37437313654561e-12,0.715160685777233,2.54962437661794e-30,0.801738066154146,1.28174385853403e-33,0.553887409492251,1.11022302462516e-16,2.51552035770151e-15,"'Gfi1'"
0.192081985074181,0.898056655555103,0.000636099856903283,0.596142353172125,2.82386461502195e-22,0.518164672674729,8.71652796924406e-52,0.172856774978549,4.32347360313606e-52,0.786636280118687,5.55e-17,2.51552035770151e-15,"'Smarca4'"
0.525958451538979,0.291534310969714,0.209007269240635,0.519251409281128,3.95636365499062e-07,0.0745732873015343,1.25513322061351e-23,0.573077460706266,7.36505584960341e-31,0.356971474450957,1.11022302462516e-16,2.51552035770151e-15,"'Pou3f2'"
0.373334211999912,0.688153801296228,0.0832407492295976,0.782661076078653,3.89177768226092e-07,0.946506441488826,1.33886191537332e-21,0.060512784070809,1.06252838431908e-25,0.0703273606324791,1.11022302462516e-16,2.51552035770151e-15,"'Nfatc3'"
0.330911578551734,0.553595924381006,0.00321695888289608,0.670515660835662,7.73498831456908e-11,0.647106025820655,1.01655507753315e-30,0.140456806004554,2.78707882878856e-39,0.1903843861753,1.11022302462516e-16,2.51552035770151e-15,"'E2f2'"
0.232008759779242,0.414677259931576,0.00305531466063712,0.510468699718927,4.28166691008372e-14,0.148178910587438,1.39664442519226e-31,0.0534862178369987,4.40785790468823e-30,0.90056237956643,1.11022302462516e-16,2.51552035770151e-15,"'Pou4f1'"
0.416940082494828,0.321360201636673,0.0151811483570387,0.712819242384185,3.43528644638234e-17,0.820396390368528,6.35281065538426e-39,0.858576860300136,2.91362664057988e-39,0.787129676457693,1.11022302462516e-16,2.51552035770151e-15,"'Tsc2'"
0.326228208096951,0.714194407148944,0.135456347102986,0.948934843230737,4.65106775768051e-07,0.674929651749006,4.68663517078937e-26,0.241742818612108,1.95883053437455e-30,0.56129597539817,1.11022302462516e-16,2.51552035770151e-15,"'Foxo1'"
0.537398454775804,0.112803300494626,0.0939490865936857,0.491341641717992,2.23073195677375e-08,0.282118693698329,5.60447751843784e-32,0.0734159430700841,5.7235036399759e-41,0.913994657496925,1.11022302462516e-16,2.51552035770151e-15,"'Pml'"
0.173410772817801,0.584200831050088,5.8851501563858e-05,0.412499320159102,9.41268204454435e-16,0.0877030248039822,4.30212847338413e-33,0.501021427762872,4.38870701580944e-36,0.16710276004806,1.11022302462516e-16,2.51552035770151e-15,"'Tfap2e'"
0.555977849149053,0.396827846846245,0.0638941430757603,0.148476747309595,2.94786133945081e-08,0.681944569186255,3.07038744205211e-26,0.522906083441241,3.10488550704915e-29,0.130367852873395,1.11022302462516e-16,2.51552035770151e-15,"'Zic4'"
0.511336945424373,0.877315999057706,0.0411598466185199,0.662753985847585,7.16288764245724e-10,0.880682637505181,1.86242037576689e-25,0.447980440799625,9.72112536891433e-25,0.646902440007297,1.11022302462516e-16,2.51552035770151e-15,"'Zic5'"
0.309846498649333,0.671355279768408,0.0126205070381114,0.461381376827434,4.22788834489616e-15,0.574575862791063,1.40060048047051e-37,0.562999590914704,3.24264449491876e-37,0.0944386268607315,1.11022302462516e-16,2.51552035770151e-15,"'Foxn4'"
0.00046678960080683,0.509985881062643,2.47331644113399e-47,0.161243798929986,1.11951958073751e-233,0.462183239175851,0,0.721131275109328,0,0.538315362987364,5.55e-17,2.51552035770151e-15,"'sncg'"
0.300527679577313,0.20207390220608,0.0273754982024547,0.242098798382099,2.33762240642697e-12,0.992638885396413,1.25190803332526e-34,0.690546641401755,5.1464352611834e-34,0.897894867337759,1.11022302462516e-16,2.51552035770151e-15,"'sst'"
0.030836045484509,0.277122944704129,6.92389636439029e-12,0.221742206094828,1.619516147787e-69,0.58502831630722,7.80054035233086e-129,0.789900955798492,1.42756016207526e-134,0.0131607378711646,5.55e-17,2.51552035770151e-15,"'th'"
0.121709230683598,0.561405841596584,2.01585742744351e-10,0.593600856995184,3.1829685863666e-67,0.469262472450366,1.30871275466271e-137,0.0162283904623688,3.64644504414225e-143,0.677223298026753,5.55e-17,2.51552035770151e-15,"'xdh'"
0.184726967924635,0.410809345319976,6.5713395586866e-11,0.488638864102094,1.87938855680496e-67,0.309526721800172,1.13116729092095e-133,0.600187716810584,2.54413597821206e-136,0.978436781563271,5.55e-17,2.51552035770151e-15,"'slc17a8'"
0.654193771700238,0.114135287871366,0.167181635710788,0.522879502350474,1.63392766385012e-10,0.266389124267797,2.01185403249433e-40,0.769351219195361,2.85241182885482e-41,0.971069610854206,1.11022302462516e-16,2.51552035770151e-15,"'slc5a7'"
0.610000821453089,0.667902183018592,0.475526709292888,0.537369463451037,0.000107868173015957,0.855969944292859,9.76753576666122e-27,0.727183359400922,6.04978790203626e-30,0.863335900953356,1.11022302462516e-16,2.51552035770151e-15,"'slc6a3'"
0.573375453261765,0.342130572724867,0.659596341814451,0.670722334439418,1.50940482079791e-11,0.200533417780124,6.8642408938269e-41,0.866581349442236,1.83020647752738e-39,0.983068115785675,1.11022302462516e-16,2.51552035770151e-15,"'smad3'"
0.105050527424885,0.329028982445425,1.49368174864659e-13,0.373574845348928,1.09851262081744e-79,0.505526288406568,3.8474657138198e-143,0.461147821510259,3.79224593586195e-146,0.271731420467289,5.55e-17,2.51552035770151e-15,"'opalin'"
0.0361381057880016,0.208469784540303,1.13761904498927e-15,0.158346275110244,1.16978977124993e-94,0.941560676666362,1.06697744405142e-164,0.180300607229208,2.48875727194195e-151,0.109926223783191,5.55e-17,2.51552035770151e-15,"'pdgfra'"
0.0668175382893918,0.609711219910434,1.93354729899009e-10,0.0946204302302835,7.88167447234015e-61,0.85797649947193,1.00679498599831e-115,0.295759430870681,8.5683198885726e-118,0.161453310881218,5.55e-17,2.51552035770151e-15,"'palvb'"
0.404746393197912,0.414576389909829,0.0534366884041621,0.873106414980607,2.93890887961384e-08,0.838416768978652,5.05438794218337e-22,0.106714383315198,1.32519345224197e-26,0.365780950327193,1.11022302462516e-16,2.51552035770151e-15,"'reln'"
0.446124633384335,0.586717194599708,0.00327829044361507,0.533770354086143,2.47628966704681e-24,0.375107769780289,3.57424661800262e-58,0.768865385419042,1.61013704934449e-50,0.677475331921411,5.55e-17,2.51552035770151e-15,"'slc17a7'"
0.0454105877290685,0.467407369173922,6.04019188261939e-18,0.59405985525432,4.56461741055179e-97,0.957775739626273,2.00490480565398e-170,0.449569155105818,5.48016672085804e-172,0.0342606536805041,5.55e-17,2.51552035770151e-15,"'lyve'"
0.425774082946301,0.228718586544679,0.000472758638393249,0.315111379897704,1.65457490203572e-36,0.486766892426822,1.58764156194146e-78,0.413294534668566,9.6040354131806e-75,0.38998956164668,5.55e-17,2.51552035770151e-15,"'mfge8'"
0.262630910144904,0.538233708377498,1.53692484440347e-05,0.636868699234443,5.76274090263778e-49,0.796009573354088,8.55582757596919e-103,0.262752292212705,1.27022342731623e-108,0.0481609291965416,5.55e-17,2.51552035770151e-15,"'mog'"
0.260408584488191,0.288854553239623,0.000418878190900298,0.84796241573518,4.2027310758244e-24,0.548027106388778,2.02761860417533e-50,0.241283673728158,1.50151602978e-48,0.446786668999264,5.55e-17,2.51552035770151e-15,"'myl14'"
0.0892371820971659,0.367806573801257,1.18892227333033e-10,0.817048454075355,9.29720240513774e-53,0.634160216511858,8.02853709475198e-104,0.178718879894243,2.40368743409087e-104,0.66966995941248,5.55e-17,2.51552035770151e-15,"'ndnf'"
0.157883869110039,0.913899657334581,5.38736995044661e-16,0.509400466841893,2.02578764515997e-109,0.512871500012699,2.14192103143725e-189,0.558910927435407,7.74411610262063e-188,0.152822659027733,5.55e-17,2.51552035770151e-15,"'ctss'"
0.020248034049333,0.643955095036532,4.53149073090709e-18,0.0485640248895971,8.22836644695683e-98,0.598907990349354,1.23607674975928e-170,0.101155511520175,3.26870907054004e-167,0.366042379936192,5.55e-17,2.51552035770151e-15,"'foxj1'"
0.439981703480689,0.115485613588963,0.123285476395918,0.111445824124535,1.35306517104923e-10,0.270677208757273,2.25910605643191e-28,0.854129899924145,5.16359869914178e-32,0.477732957819328,1.11022302462516e-16,2.51552035770151e-15,"'gad1'"
0.3117125780717,0.742792445021049,0.0217822307584359,0.498583447682079,4.10914517617558e-13,0.534189666218243,2.33794293937466e-38,0.105694643485678,3.45048492384229e-43,0.630277202140039,1.11022302462516e-16,2.51552035770151e-15,"'htr3a'"
0.190723740685297,0.0546991453947732,9.31922413078939e-08,0.169525028400317,2.3403382706833e-45,0.942581308387804,2.3086985628293e-95,0.116654932468144,2.74095984345743e-103,0.54239026853634,5.55e-17,2.51552035770151e-15,"'igtp'"
0.145579983352217,0.563028818583419,2.93126458364518e-08,0.644022108872696,1.88483167839632e-46,0.572530000019354,1.43199455165655e-98,0.411689273754593,9.24844503044933e-100,0.677644244076766,5.55e-17,2.51552035770151e-15,"'acta2'"
0.341661856927796,0.696229393674552,0.060633180061473,0.715364755929804,9.9260717162766e-12,0.71870015753647,1.93899322639576e-35,0.242059143538042,5.34055304367895e-33,0.624737126978239,1.11022302462516e-16,2.51552035770151e-15,"'alldh1l1'"
0.279386496000259,0.390758583283235,0.00373833478268516,0.710128671041901,2.00722817896351e-13,0.306464860160843,2.14484070472916e-37,0.087633212300267,1.79789407457291e-39,0.358010769079846,1.11022302462516e-16,2.51552035770151e-15,"'cldn5'"
0.335969576659898,0.453881774160833,1.01807683603147e-06,0.0561607274648042,7.29132975792054e-54,0.925597415408822,1.13455867808691e-109,0.647048120177534,3.66849063062723e-105,0.452848080472678,5.55e-17,2.51552035770151e-15,"'ngef'"
0.174224598703825,0.178796342918388,1.89586864650914e-06,0.233123380132225,2.99076591638331e-43,0.483800198670671,7.97899765150755e-86,0.211744445923909,2.79645279407496e-81,0.183474112278172,5.55e-17,2.51552035770151e-15,"'tiam1'"
0.202370108989747,0.423717034664657,0.000918196243576448,0.661902153643049,1.24976398363193e-24,0.146158379572299,1.02113795463435e-55,0.517925158350203,6.5050582500222e-49,0.257827135632403,5.55e-17,2.51552035770151e-15,"'slc1a2'"
0.378657450856547,0.757121935598481,0.0610284444213886,0.125803834044407,5.98501887834266e-11,0.6018094441457,1.81201428529739e-30,0.272269716538084,2.891968535074e-29,0.169265899713938,1.11022302462516e-16,2.51552035770151e-15,"'gja1'"
0.11277344272068,0.0642354006124168,1.71236893301385e-09,0.976119906060714,3.35603710996076e-52,0.0290508861404823,4.09412917234663e-112,0.0134991418913346,9.21292654891687e-121,0.626405347913288,5.55e-17,2.51552035770151e-15,"'fbll1'"
0.230406176611201,0.00782788383722032,0.00794757004859973,0.503916840027377,1.86069977164932e-06,0.447577123895492,4.69756470186244e-13,0.70421112865586,9.89387146286802e-19,0.488681705749796,2.22044604925031e-16,3.96564385802355e-15,"'Emx2'"
0.466617192276753,0.0786117434404239,0.0665103062771274,0.179961305070714,1.86446112597504e-05,0.763943625494492,1.18654999261143e-14,0.150673580963709,1.68869483281602e-18,0.493182959550008,2.22044604925031e-16,3.96564385802355e-15,"'Nr4a3'"
0.343490069451225,0.42549894707534,0.0548112860662581,0.792823805474701,0.00118668437383188,0.619608469158825,1.29975926576094e-10,0.614453234114315,2.64243870929919e-18,0.706691395679534,2.22044604925031e-16,3.96564385802355e-15,"'Ttf1'"
0.501292924375607,0.772308230532701,0.136315794156477,0.932958552754032,0.000167960248211733,0.194689516993075,1.35202221038735e-13,0.117856099087621,2.74250041943853e-18,0.795994127441939,2.22044604925031e-16,3.96564385802355e-15,"'Nr2e1'"
0.54328727859345,0.680124189489414,0.0656758050925116,0.50073285132979,2.99947151815656e-08,0.904887188194624,1.14430244793679e-16,0.637882972214617,2.26457450268518e-18,0.0886917463686456,2.22044604925031e-16,3.96564385802355e-15,"'Ets1'"
