"GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue","gene"
0.347632058547511,0.404244543098823,0.0139811002831653,0.688966934108348,5.917432688078e-10,0.351025402051807,9.26295148530875e-25,0.482749611483993,2.54234639701277e-24,0.290707318239102,1.11022302462516e-16,2.51552035770151e-15,"'Dmbx1'"
0.296286640254781,0.732080878411242,0.0430252861044209,0.146829871736333,1.27288679595366e-11,0.766049054977299,1.26742845953256e-29,0.550150150419378,1.64229744562006e-33,0.826459510273441,1.11022302462516e-16,2.51552035770151e-15,"'Paxip1'"
0.380046232424651,0.863461340432238,0.212724675048322,0.939275022037703,7.02140476363567e-05,0.509265197277417,1.1492205457959e-18,0.301948472552713,3.19919604390868e-20,0.272360766968851,1.11022302462516e-16,2.51552035770151e-15,"'Ctnnb1'"
0.22248025380334,0.350095900689546,0.00192320874909176,0.242664529619595,4.99970957263788e-20,0.720985166344914,2.69719944702446e-45,0.0518345779832261,2.74128653379412e-44,0.40880470827508,5.55e-17,2.51552035770151e-15,"'Rybp'"
0.492049005887948,0.403093987891784,0.0507065735891642,0.527036577261445,2.899338318615e-08,0.342033154312496,1.14177634424868e-19,0.741373671328508,1.25633082522499e-19,0.335937524857858,1.11022302462516e-16,2.51552035770151e-15,"'Sp8'"
0.528601982786326,0.539106740608978,0.0419780087207119,0.25860898444127,1.86615003934405e-08,0.898437244732956,5.27909055663135e-19,0.0447328167219013,2.75180444504701e-22,0.486334948634036,1.11022302462516e-16,2.51552035770151e-15,"'Vav1'"
0.434403607860443,0.925236021944429,0.186630055071728,0.731306307973778,8.28642071247957e-09,0.470908953175035,1.99960395725144e-27,0.432490297469246,2.14632630287092e-27,0.705547296834539,1.11022302462516e-16,2.51552035770151e-15,"'Nr3c2'"
0.415113718186129,0.29372174394946,0.000567201982506941,0.124598600667161,4.79599628447109e-24,0.6786662166017,7.70516652923724e-57,0.424682028881552,1.4581124117501e-54,0.604837022912172,5.55e-17,2.51552035770151e-15,"'Sox6'"
0.416642735783578,0.203766468646496,0.0519850213877675,0.885619575639923,9.31267232288151e-10,0.130195184980517,3.69161281044457e-26,0.615456858261565,1.49047810166884e-30,0.310885320577367,1.11022302462516e-16,2.51552035770151e-15,"'Cebpg'"
0.401889438546783,0.530854683905638,0.108003577690907,0.702377178698646,1.7589975138886e-06,0.0984636934556973,3.46283035854769e-19,0.376977192862669,8.38286997310352e-23,0.494984047775798,1.11022302462516e-16,2.51552035770151e-15,"'Clock'"
0.395237738102794,0.672236541209992,0.0110647605362837,0.981710028520351,3.96023434465628e-13,0.114770768423325,8.85708209440456e-33,0.210173625087069,1.18357844652882e-32,0.705393445468932,1.11022302462516e-16,2.51552035770151e-15,"'Foxc1'"
0.315163496136151,0.0893895650174154,0.0303596042850638,0.650324792426119,3.04370371279181e-07,0.160870367908089,9.84072921817389e-24,0.750480909252698,8.81026483262698e-30,0.31560894317782,1.11022302462516e-16,2.51552035770151e-15,"'Cdc6'"
0.48042776021769,0.731380451566004,0.182271867458862,0.0195977748738641,5.56279642965e-08,0.318582151759498,2.44713536954063e-20,0.501141399280546,2.54956902716116e-24,0.913844267411079,1.11022302462516e-16,2.51552035770151e-15,"'Six4'"
0.354951819905832,0.703563673798253,0.0321406475274158,0.839118435133103,4.74141994660745e-10,0.727683295062361,1.0192560554294e-23,0.702118600504977,1.14716430527627e-28,0.127312631095211,1.11022302462516e-16,2.51552035770151e-15,"'Nfe2l3'"
